Title,Company Name,Location,Salary,Rating,Descriptions
Functional Analyst,Accion Labs,Kuala Lumpur,,,"Through nine global offices and a rapid-response delivery model, Accion offers a range of engagement models such as turn-key projects, extended-teams, shared-IP…"
Junior Developer,Valiram,Kuala Lumpur,,3.5,Providing data on time for the business. Analyse data inaccuracy and resolve business system issues. Ensure proper handling and timely processing of electronic…
"FP&A Analyst, MFG Countries - China",Ingredion,Kuala Lumpur,,,Assist the onsite FP&A counterpart by fulfilling any data requirements. Collaborate with the Chinese business stakeholders for data gathering and requirements…
MYS CTSM KL Authorization,Citi,Kuala Lumpur,,3.9,"Identify inconsistencies in data or results, and exchange information in a concise and logical way. The overall objective of this role is to assist in managing…"
GTIS - ITSM - Problem Management,CIMB Group,Kuala Lumpur,,3.9,Analysis and reporting of incident trend data to identify and elimiate root causes. The Problem Analyst should be a self-motivated individual with a good…
Senior Functional Test Analyst,Power It services Pvt ltd,Kuala Lumpur,,,"Creation andco-ordination for requited Test data with different stakeholders. Functional testing experiencein Banking domain, preferably *Cards & Payments/* …"
EmB Cash Product Analyst,OCBC Bank,Kuala Lumpur,,3.8,Maintain and support business data and data repositories. Champion enhancement of portfolio analyses and data management reporting and system.
"AVP, DM - SAS",CIMB Group,Kuala Lumpur,,3.9,"Hands-on experience with integration of data from multiple data sources. Strong understanding of data modelling, algorithms, and data transformation techniques."
"Senior Analyst, Business Reporting",BASF Asia Pacific,Kuala Lumpur,,4.1,"Data collection, data processing, reporting generation and basic business analysis for assigned units and division. Frequent cooperation within BASF Group."
"Assurance - Data Analytics (Financial Services), Senior Asso...",EY,Kuala Lumpur,,4.0,"You will deliver results by using data analytics to deal with large, disparate volumes of data to assist your client group gain critical insights."
"FP&A Analyst, MFG Countries - Korea",Ingredion,Kuala Lumpur,,,Assist the onsite FP&A counterpart by fulfilling any data requirements. Collaborate with the Korean business stakeholders for data gathering and requirements…
MYS Citibank Berhad - Risk Modeling Senior Analyst,Citi,Kuala Lumpur,,3.9,"Prepares statistical and non-statistical data exploration, validate data, identify data quality issues. Automates data extraction and data preprocessing tasks,…"
"Specialist, IT Application Support",edotco Group,Kuala Lumpur,,,Good knowledge of JSON and XML data formats. Build reports and/or data extracts to support business analysis. Work with subject matter experts and knowledgeable…
Sales Operations Analyst,Red Hat Software,Kuala Lumpur,,,"Deliver renewal data and report analytics, track and measure sales programs. Increase renewal data accuracy, process, and develop automation capabilities to…"
Senior BI Analyst,Mindvalley,Kuala Lumpur,,4.5,"Identify data quality issues through data profiling, analysis and stakeholder engagement. Strong data query skills for data manipulation through nested and join…"
"MYS Citibank Berhad Business Analyst, C11",Citi,Kuala Lumpur,,3.9,Ability to collaborate with stakeholders in the assessment of business opportunities through data driven strategies.
Senior System Analyst,TENTACLE SSO SDN.BHD.,Kuala Lumpur,,,>5 years working experience in SaS and other data warehousing tools. >5 years working experience in banking domain related projects 3.
"Software Engineering, Analyst",AIA,Kuala Lumpur,,,Application development and maintenance for Policy Admin System (Life/Asia). Responsible for Life/Asia Conventional & Takaful application development activities…
Sr Revenue Performance Analyst,Hitachi Vantara,Kuala Lumpur,,,"The Revenue Performance Organization in Controllership is a dynamic, stakeholder and customer-oriented team in Finance that works with sales and services on…"
CDD Senior Analyst,bp,Kuala Lumpur,,3.8,Ensure counterparty data integrity in the systems is preserved and enhanced in line with CDD policy and procedures. Procurement & Supply Chain Management Group.
Associate Director - Talent Development APAC,Media.Monks,,,,"Work closely with Corp TD team, global compensation analyst and regional people team to develop compensation bands and structure for your region, keeping in…"
IT Programmer,Y.S.P. INDUSTRIES (M) SDN. BHD.,Kuala Lumpur,"RM 2,500 - RM 2,999 a month",,To provide in-house programming development training. To do system testing and deployment. Can meet the schedule requirement and work under pressure.
Commercial Strategy & Operations Analyst,Graduan.com.my,Kuala Lumpur,,,"Confident with data analytics and numbers. MBA / BA / BSC degree required, Mathematics / Business / Economics / Engineering or Science subject preferred, must…"
Business Analyst Intern,OpenLearning Global (M) Sdn Bhd,Kuala Lumpur,,,Possess strong data analysis ability. Experience in online learning technology and learning platforms.
Finance Analyst (Korean Speaker),Schaeffler Bearings (Malaysia) Sdn Bhd,Kepong,,,"Responsible for assigned transactional Controlling processes in Cost Accounting (SAP CO closing, Master data maintenance), Business performance and Investment…"
"Informatica Data Quality Developer (IDQ), Enterprise Data Of...",Edwards Lifesciences,Kuala Lumpur,,,Good understanding of data governance principals and strong experience on data quality development and issue management and remediation.
Project Analyst (KL),EPS Malaysia,Kuala Lumpur,"RM 3,200 - RM 4,200 a month",,Analyzing and summarizing data and information from the departments. Remuneration: Basic salary plus company benefits( medical).
"Senior Analyst , NameScreening",Standard Chartered,Kuala Lumpur,,4.1,"Analysis skills: able to analyze data, working knowledge of Internet and MS Office Suite & independently assimilate, analyse and evaluate information from…"
Technical Account Specialist,Ascentis Pte Ltd,Kuala Lumpur,,,"Propose and work with existing data models and to ensure high quality, timely and reliable data is consistently processed. Fluent in English-written and spoken."
Head of Marketing,Funding Societies,Kuala Lumpur,,,Analyze and interpret business data to identify growth opportunities and develop corresponding marketing initiatives to drive incremental growth using online…
Software Tester,Ciro Solution - MY,Kuala Lumpur,,,"Determine, prepare, and maintain test strategy, test design, test cases, and traceability for application development and data solutions."
"FP&A Sr. Analyst, MFG Countries",Ingredion,Kuala Lumpur,,,"Develops work plans, identifies data needs and successfully interprets analytic insights. Knowledge of data visualization tools such as PowerBI and Tableau will…"
Roaming Core Service Associate,Maxis,Kuala Lumpur,,4.0,"Work on enabling the required analytics/reports for business as reference to plan new products, attack key segments, address eroding trends, manage data…"
Continuous Improvement Manager,British American Tobacco,Kuala Lumpur,,4.4,"Support the CIL in facilitating focus groups by providing metrics, data, opportunities and solving problems to improve the operational working across the R2R…"
Financial Analyst- Japanese Speaker (Fresh Grad),CBRE,Kuala Lumpur,,3.7,Retrieves and organizes data into required reporting formats to provide a basis for comparison and evaluation. Strong written and verbal communication skills.
Infrastructure Engineer (Associate Level),ERM Group,Kuala Lumpur,,3.3,The person will also act as a technical expert on infrastructure related projects and act as a center of expertise to support analysts and assist them in…
Sr. Business Analyst,Cargill,Kuala Lumpur,,3.8,"Minimum of four years of related work experience as similar roles like (Business analyst, Product manager etc)."
Senior Analyst - TMCB US,Standard Chartered,Kuala Lumpur,,4.1,"Analysis skills: able to analyse data trends and out of pattern activities, working knowledge of Internet and MS Office Suite & independently assimilate,…"
Director of Business Intelligence,Quacquarelli Symonds,Kuala Lumpur,,,"Establish a global data governance framework - outlining methods and procedures for data governance and management including tracking data quality, completeness…"
Data Analyst,SWIFT,Kuala Lumpur,,3.3,"They achieve this by analysing data, presenting data insights and reports with business application, developing data led improvements to products, translating…"
E-Commerce Internship,Fatfish Group,KL Eco City,RM 600 a month,,Superb data analysis and report writing abilities. Analyzing sales-related data to predict future sales and concomitant stock requirements.
Senior Pay Services Analyst,The Estée Lauder Companies,Kuala Lumpur,,4.1,Knowledge and experience with payroll systems and data flow. Execute complex activities associated with the input and processing of expat payroll data.
Procurement Analyst / Senior Analyst - Shared Service Center,Bright Prospect,Kuala Lumpur,"RM 7,000 - RM 10,000 a month",,"Establishment of purchase orders, vendor master data managements and AP processes. Troubleshoot issues with invoices processing, shopping carts, purchase orders…"
Business Analyst Senior Specialist,Maxis,Kuala Lumpur,,4.0,Always inquisitive to explore different ways to deep dive and dissect Big Data into actionable insights and recommendations by identifying potential segments…
"Specialist, Supply Chain Operational Design",BASF Asia Pacific,Kuala Lumpur,,4.1,Manipulate/mine data from database tables using different business intelligence methods. Interface with Global Stakeholders and Business Analysts across time…
